#1 chest tube irrig.
#11 Vent cap/ #16
#11 vent cap/#14 sx
#3 CT-POSTERIOR
% Inspir. Time
%cool mist
(L) FEM ART
(R) FEM ART
(R) FEMORAL SHEATH
(R) Fem drain bag
(R) nephrostomy
(R)Nephrostomy flush
.25 NS +1:1 Heparin
.25 NS+0.5:1 Heparin
.25 NS+0.5:1 Heparin 100.0ml
.25% Normal Saline
.25% Normal Saline 1000.0ml
.25% Normal Saline 250.0ml
.25NS flush
.3% Normal Saline
.3% normal Saline
.3% normal Saline 1000.0ml
.3% normal Saline 500.0ml
.3% normal Saline 60.0ml
.45 NS
.45 NS/40K
.45% NS
.45% Normal Saline
.45% Normal Saline 100.0ml
.45% Normal Saline 1000.0ml
.45% Normal Saline 10000.0ml
.45% Normal Saline 120.0ml
.45% Normal Saline 1250.0ml
.45% Normal Saline 150.0ml
.45% Normal Saline 1500.0ml
.45% Normal Saline 1750.0ml
.45% Normal Saline 1800.0ml
.45% Normal Saline 2000.0ml
.45% Normal Saline 250.0ml
.45% Normal Saline 2500.0ml
.45% Normal Saline 300.0ml
.45% Normal Saline 3000.0ml
.45% Normal Saline 3500.0ml
.45% Normal Saline 360.0ml
.45% Normal Saline 400.0ml
.45% Normal Saline 4000.0ml
.45% Normal Saline 450.0ml
.45% Normal Saline 50.0ml
.45% Normal Saline 500.0ml
.45% Normal Saline 5000.0ml
.45% Normal Saline 600.0ml
.45% Normal Saline 650.0ml
.45% Normal Saline 75.0ml
.45% Normal Saline 750.0ml
.45% Normal Saline 80.0ml
.45% Normal Saline 800.0ml
.45% Normal Saline 900.0ml
.45%NS FLUSH
.45%ns
.45NS & 1 AMP BICARB
.45NS + .5:1 Heparin
.45NS + .5:1 Heparin 1.0ml
.45NS + .5:1 Heparin 100.0ml
.45NS + .5:1 Heparin 1000.0ml
.45NS + .5:1 Heparin 250.0ml
.45NS + 1:1 Heparin
.45NS + 1:1 Heparin 30.0cc
.45NS BOLUS
.45NS flush
.45ns + 1 amp bicarb
.45ns w/ 20kcl
.5:1 NS REPLETION
.5BM/.5Neocate 24 PG
.5BM/.5Neocate 24 PO
.9 NS CBI
.9% NS + 45 HCL
.9% NS flush
.9% Normal Saline
.9% Normal Saline 1.0ml
.9% Normal Saline 1.0ml + 1000Uhr Heparin
.9% Normal Saline 1.0ml + 50mcghr Fentanyl
.9% Normal Saline 10.0ml
.9% Normal Saline 10.0ml + 1000mcgkgmin Propofol
.9% Normal Saline 100.0ml
.9% Normal Saline 100.0ml + 1.5mcgkgmin Natrecor
.9% Normal Saline 100.0ml + 1000mcghr Fentanyl
.9% Normal Saline 100.0ml + 1000mcgkgmin Propofol
.9% Normal Saline 100.0ml + 100Uhr Insulin
.9% Normal Saline 100.0ml + 100mcghr Fentanyl
.9% Normal Saline 100.0ml + 100mcgkghr Ketamine
.9% Normal Saline 100.0ml + 100mcgkghr Ketamine + 100mcgkgmin Ketamine
.9% Normal Saline 100.0ml + 100mghr Ativan
.9% Normal Saline 100.0ml + 100mghr Diltiazem
.9% Normal Saline 100.0ml + 100mghr Lasix
.9% Normal Saline 100.0ml + 100mghr Midazolam
.9% Normal Saline 100.0ml + 100mghr Morphine Sulfate
.9% Normal Saline 100.0ml + 100mgkghr Pancuronium
.9% Normal Saline 100.0ml + 100mgmin Labetolol
.9% Normal Saline 100.0ml + 100mgmin TPA
.9% Normal Saline 100.0ml + 10mcgkghr Xigris
.9% Normal Saline 100.0ml + 10mghr Ativan
.9% Normal Saline 100.0ml + 10mghr Lasix
.9% Normal Saline 100.0ml + 10mghr Midazolam
.9% Normal Saline 100.0ml + 10mgkghr Doxacurium
.9% Normal Saline 100.0ml + 10mgkghr Vecuronium
.9% Normal Saline 100.0ml + 120mgmin Labetolol
.9% Normal Saline 100.0ml + 125mghr Diltiazem
.9% Normal Saline 100.0ml + 150Uhr Insulin
.9% Normal Saline 100.0ml + 150mgmin Amiodarone
.9% Normal Saline 100.0ml + 200Uhr Insulin
.9% Normal Saline 100.0ml + 200mghr Lasix
.9% Normal Saline 100.0ml + 200mghr Midazolam
.9% Normal Saline 100.0ml + 200mghr Morphine Sulfate
.9% Normal Saline 100.0ml + 200mgmin Labetolol
.9% Normal Saline 100.0ml + 20mcgkgmin Milrinone
.9% Normal Saline 100.0ml + 20mghr Dilaudid
.9% Normal Saline 100.0ml + 20mghr Morphine Sulfate
.9% Normal Saline 100.0ml + 20mgkghr Pancuronium
